Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
14/04/2020 12:51:07.867,-1.250,0.492,0.184
14/04/2020 12:51:07.900,-1.086,0.512,0.199
14/04/2020 12:51:07.934,-0.828,0.422,0.125
14/04/2020 12:51:07.967,-0.836,0.363,0.070
14/04/2020 12:51:08.000,-0.891,0.383,0.074
14/04/2020 12:51:08.034,-0.883,0.375,0.086
14/04/2020 12:51:08.067,-0.813,0.344,0.082
14/04/2020 12:51:08.100,-0.805,0.301,0.047
14/04/2020 12:51:08.134,-0.805,0.297,0.039
14/04/2020 12:51:08.167,-0.844,0.285,0.004
14/04/2020 12:51:08.200,-0.906,0.266,-0.047
14/04/2020 12:51:08.234,-0.953,0.289,-0.105
14/04/2020 12:51:08.267,-1.016,0.281,-0.160
14/04/2020 12:51:08.300,-1.066,0.262,-0.211
14/04/2020 12:51:08.334,-1.098,0.277,-0.242
14/04/2020 12:51:08.367,-1.207,0.289,-0.250
14/04/2020 12:51:08.400,-1.426,0.305,-0.254
14/04/2020 12:51:08.434,-1.309,0.301,-0.215
14/04/2020 12:51:08.467,-1.039,0.270,-0.172
14/04/2020 12:51:08.500,-0.930,0.262,-0.113
14/04/2020 12:51:08.534,-0.902,0.336,-0.082
14/04/2020 12:51:08.567,-0.949,0.406,0.020
14/04/2020 12:51:08.600,-0.953,0.414,0.047
14/04/2020 12:51:08.634,-0.906,0.391,0.098
14/04/2020 12:51:08.667,-0.836,0.410,0.215
14/04/2020 12:51:08.700,-0.840,0.391,0.355
14/04/2020 12:51:08.734,-0.844,0.445,0.383
14/04/2020 12:51:08.767,-0.813,0.563,0.320
14/04/2020 12:51:08.800,-0.785,0.629,0.391
14/04/2020 12:51:08.834,-0.879,0.590,0.473
14/04/2020 12:51:08.867,-0.914,0.551,0.418
14/04/2020 12:51:08.900,-0.891,0.547,0.395
14/04/2020 12:51:08.934,-0.883,0.578,0.406
14/04/2020 12:51:08.967,-0.824,0.590,0.371
14/04/2020 12:51:09.000,-0.797,0.563,0.316
14/04/2020 12:51:09.034,-0.727,0.527,0.316
14/04/2020 12:51:09.067,-0.688,0.512,0.301
14/04/2020 12:51:09.100,-0.648,0.539,0.270
14/04/2020 12:51:09.134,-0.574,0.496,0.242
14/04/2020 12:51:09.167,-0.539,0.512,0.223
14/04/2020 12:51:09.200,-0.645,0.586,0.211
14/04/2020 12:51:09.234,-0.695,0.613,0.148
14/04/2020 12:51:09.267,-0.730,0.629,0.102
14/04/2020 12:51:09.300,-0.730,0.598,0.098
14/04/2020 12:51:09.334,-0.746,0.547,0.090
14/04/2020 12:51:09.367,-0.707,0.516,0.078
14/04/2020 12:51:09.400,-0.672,0.523,0.047
14/04/2020 12:51:09.434,-0.672,0.543,0.016
14/04/2020 12:51:09.467,-0.695,0.531,0.008
14/04/2020 12:51:09.500,-0.758,0.500,0.008
14/04/2020 12:51:09.534,-0.824,0.520,0.000
14/04/2020 12:51:09.567,-0.883,0.535,-0.004
14/04/2020 12:51:09.600,-0.938,0.512,-0.004
14/04/2020 12:51:09.634,-0.977,0.480,0.016
14/04/2020 12:51:09.667,-0.980,0.453,0.008
14/04/2020 12:51:09.700,-1.078,0.434,-0.020
14/04/2020 12:51:09.734,-1.141,0.453,-0.012
14/04/2020 12:51:09.767,-1.168,0.445,-0.020
14/04/2020 12:51:09.800,-1.152,0.387,-0.047
14/04/2020 12:51:09.834,-1.156,0.363,-0.027
14/04/2020 12:51:09.867,-1.340,0.352,-0.043
14/04/2020 12:51:09.900,-1.434,0.352,-0.047
14/04/2020 12:51:09.934,-1.152,0.344,0.000
14/04/2020 12:51:09.967,-0.836,0.297,0.035
14/04/2020 12:51:10.000,-0.598,0.230,0.051
14/04/2020 12:51:10.034,-0.570,0.258,0.078
14/04/2020 12:51:10.067,-0.613,0.316,0.145
14/04/2020 12:51:10.100,-0.777,0.348,0.250
14/04/2020 12:51:10.134,-0.777,0.359,0.227
14/04/2020 12:51:10.167,-0.742,0.379,0.234
14/04/2020 12:51:10.200,-0.738,0.414,0.320
14/04/2020 12:51:10.234,-0.809,0.410,0.324
14/04/2020 12:51:10.267,-0.906,0.441,0.305
14/04/2020 12:51:10.300,-0.957,0.430,0.301
14/04/2020 12:51:10.334,-1.012,0.418,0.273
14/04/2020 12:51:10.367,-1.070,0.434,0.262
14/04/2020 12:51:10.400,-1.102,0.445,0.273
14/04/2020 12:51:10.434,-1.086,0.402,0.234
14/04/2020 12:51:10.467,-1.074,0.375,0.211
14/04/2020 12:51:10.500,-1.270,0.426,0.195
14/04/2020 12:51:10.534,-1.445,0.531,0.238
14/04/2020 12:51:10.567,-1.176,0.426,0.195
14/04/2020 12:51:10.600,-0.793,0.262,0.133
14/04/2020 12:51:10.634,-0.773,0.219,0.102
14/04/2020 12:51:10.667,-0.906,0.301,0.082
14/04/2020 12:51:10.700,-0.938,0.363,0.066
14/04/2020 12:51:10.734,-0.863,0.355,0.055
14/04/2020 12:51:10.767,-0.738,0.281,0.031
14/04/2020 12:51:10.800,-0.676,0.262,0.023
14/04/2020 12:51:10.834,-0.688,0.285,0.016
14/04/2020 12:51:10.867,-0.688,0.313,0.016
14/04/2020 12:51:10.900,-0.734,0.344,0.012
14/04/2020 12:51:10.934,-0.750,0.359,0.020
14/04/2020 12:51:10.967,-0.859,0.387,0.027
14/04/2020 12:51:11.000,-1.047,0.391,0.043
14/04/2020 12:51:11.034,-1.160,0.402,0.070
14/04/2020 12:51:11.067,-1.227,0.430,0.102
14/04/2020 12:51:11.100,-1.262,0.445,0.121
14/04/2020 12:51:11.134,-1.438,0.441,0.121
14/04/2020 12:51:11.167,-1.332,0.398,0.152
14/04/2020 12:51:11.200,-0.992,0.336,0.168
14/04/2020 12:51:11.234,-0.691,0.348,0.145
14/04/2020 12:51:11.267,-0.703,0.430,0.109
14/04/2020 12:51:11.300,-0.813,0.539,0.117
14/04/2020 12:51:11.334,-0.883,0.500,0.172
14/04/2020 12:51:11.367,-0.797,0.410,0.180
14/04/2020 12:51:11.400,-0.738,0.348,0.215
14/04/2020 12:51:11.434,-0.742,0.355,0.230
14/04/2020 12:51:11.467,-0.797,0.402,0.195
14/04/2020 12:51:11.500,-0.863,0.414,0.207
14/04/2020 12:51:11.534,-0.863,0.395,0.207
14/04/2020 12:51:11.567,-0.867,0.387,0.219
14/04/2020 12:51:11.600,-0.953,0.469,0.203
14/04/2020 12:51:11.634,-0.984,0.258,0.270
14/04/2020 12:51:11.667,-1.008,0.391,0.215
14/04/2020 12:51:11.700,-0.992,0.348,0.184
14/04/2020 12:51:11.734,-1.008,0.426,0.109
14/04/2020 12:51:11.767,-1.238,0.516,0.125
14/04/2020 12:51:11.800,-1.254,0.527,0.164
14/04/2020 12:51:11.834,-1.008,0.426,0.121
14/04/2020 12:51:11.867,-0.773,0.328,0.117
14/04/2020 12:51:11.900,-0.773,0.336,0.090
14/04/2020 12:51:11.934,-0.895,0.359,0.047
14/04/2020 12:51:11.967,-0.945,0.367,0.047
14/04/2020 12:51:12.000,-0.863,0.348,0.055
14/04/2020 12:51:12.034,-0.773,0.309,0.051
14/04/2020 12:51:12.067,-0.750,0.309,0.035
14/04/2020 12:51:12.100,-0.754,0.320,0.031
14/04/2020 12:51:12.134,-0.762,0.320,0.035
14/04/2020 12:51:12.167,-0.793,0.336,0.035
14/04/2020 12:51:12.200,-0.836,0.352,0.035
14/04/2020 12:51:12.234,-0.887,0.375,0.047
14/04/2020 12:51:12.267,-0.965,0.387,0.063
14/04/2020 12:51:12.300,-1.008,0.402,0.098
14/04/2020 12:51:12.334,-1.020,0.406,0.117
14/04/2020 12:51:12.367,-1.051,0.418,0.141
14/04/2020 12:51:12.400,-1.102,0.465,0.172
14/04/2020 12:51:12.434,-1.238,0.496,0.160
14/04/2020 12:51:12.467,-1.305,0.488,0.184
14/04/2020 12:51:12.500,-1.066,0.430,0.211
14/04/2020 12:51:12.534,-0.699,0.359,0.176
14/04/2020 12:51:12.567,-0.543,0.367,0.133
14/04/2020 12:51:12.600,-0.664,0.480,0.086
14/04/2020 12:51:12.634,-0.895,0.543,0.094
14/04/2020 12:51:12.667,-1.074,0.512,0.145
14/04/2020 12:51:12.700,-0.996,0.398,0.160
14/04/2020 12:51:12.734,-0.883,0.332,0.156
14/04/2020 12:51:12.767,-0.840,0.348,0.145
14/04/2020 12:51:12.800,-0.840,0.379,0.109
14/04/2020 12:51:12.834,-0.906,0.438,0.090
14/04/2020 12:51:12.867,-0.926,0.410,0.086
14/04/2020 12:51:12.900,-0.902,0.414,0.063
14/04/2020 12:51:12.934,-0.871,0.438,0.035
14/04/2020 12:51:12.967,-0.844,0.449,0.012
14/04/2020 12:51:13.000,-0.879,0.449,0.004
14/04/2020 12:51:13.034,-0.871,0.414,-0.004
14/04/2020 12:51:13.067,-0.844,0.391,0.012
14/04/2020 12:51:13.100,-0.840,0.387,0.012
14/04/2020 12:51:13.134,-0.863,0.387,0.020
14/04/2020 12:51:13.167,-0.930,0.395,0.004
14/04/2020 12:51:13.200,-1.254,0.488,0.020
14/04/2020 12:51:13.234,-1.336,0.473,0.070
14/04/2020 12:51:13.267,-0.980,0.328,0.031
14/04/2020 12:51:13.300,-0.781,0.223,0.020
14/04/2020 12:51:13.334,-0.809,0.285,0.020
14/04/2020 12:51:13.367,-0.875,0.371,-0.020
14/04/2020 12:51:13.400,-0.910,0.410,-0.055
14/04/2020 12:51:13.434,-0.957,0.391,-0.070
14/04/2020 12:51:13.467,-0.887,0.324,-0.063
14/04/2020 12:51:13.500,-0.895,0.289,-0.059
14/04/2020 12:51:13.534,-0.945,0.281,-0.066
14/04/2020 12:51:13.567,-0.949,0.305,-0.059
14/04/2020 12:51:13.600,-1.000,0.336,-0.055
14/04/2020 12:51:13.634,-1.020,0.328,-0.043
14/04/2020 12:51:13.667,-1.027,0.316,-0.035
14/04/2020 12:51:13.700,-1.039,0.277,-0.020
14/04/2020 12:51:13.734,-0.980,0.270,-0.008
14/04/2020 12:51:13.767,-0.895,0.316,0.012
14/04/2020 12:51:13.800,-0.836,0.348,0.035
14/04/2020 12:51:13.834,-0.852,0.359,0.047
14/04/2020 12:51:13.867,-1.020,0.395,0.051
14/04/2020 12:51:13.900,-1.016,0.418,0.105
14/04/2020 12:51:13.934,-0.840,0.406,0.137
14/04/2020 12:51:13.967,-0.762,0.332,0.109
14/04/2020 12:51:14.000,-0.945,0.406,0.082
14/04/2020 12:51:14.034,-1.090,0.430,0.129
14/04/2020 12:51:14.067,-1.047,0.414,0.152
14/04/2020 12:51:14.100,-0.926,0.438,0.113
14/04/2020 12:51:14.134,-0.898,0.457,0.082
14/04/2020 12:51:14.167,-0.859,0.410,0.063
14/04/2020 12:51:14.200,-0.855,0.406,0.074
14/04/2020 12:51:14.234,-0.863,0.414,0.078
14/04/2020 12:51:14.267,-0.859,0.418,0.059
14/04/2020 12:51:14.300,-0.855,0.410,0.066
14/04/2020 12:51:14.334,-0.879,0.387,0.090
14/04/2020 12:51:14.367,-0.852,0.340,0.109
14/04/2020 12:51:14.400,-0.793,0.324,0.133
14/04/2020 12:51:14.434,-0.848,0.328,0.152
14/04/2020 12:51:14.467,-0.887,0.328,0.191
14/04/2020 12:51:14.500,-0.852,0.336,0.191
14/04/2020 12:51:14.534,-0.840,0.332,0.203
14/04/2020 12:51:14.567,-0.863,0.359,0.195
14/04/2020 12:51:14.600,-0.996,0.422,0.195
14/04/2020 12:51:14.634,-1.137,0.469,0.207
14/04/2020 12:51:14.667,-1.215,0.480,0.195
14/04/2020 12:51:14.700,-1.086,0.434,0.219
14/04/2020 12:51:14.734,-0.852,0.371,0.227
14/04/2020 12:51:14.767,-0.805,0.332,0.176
14/04/2020 12:51:14.800,-0.918,0.332,0.125
14/04/2020 12:51:14.834,-1.020,0.297,0.105
14/04/2020 12:51:14.867,-0.949,0.273,0.121
14/04/2020 12:51:14.900,-0.941,0.277,0.102
14/04/2020 12:51:14.934,-0.875,0.258,0.066
14/04/2020 12:51:14.967,-0.820,0.293,0.035
14/04/2020 12:51:15.000,-0.832,0.309,0.023
14/04/2020 12:51:15.034,-0.828,0.340,0.020
14/04/2020 12:51:15.067,-0.816,0.387,0.031
14/04/2020 12:51:15.100,-0.840,0.395,0.008
14/04/2020 12:51:15.134,-0.879,0.414,0.012
14/04/2020 12:51:15.167,-0.918,0.441,0.035
14/04/2020 12:51:15.200,-0.914,0.488,0.074
14/04/2020 12:51:15.234,-1.047,0.520,0.059
14/04/2020 12:51:15.267,-1.438,0.594,0.109
14/04/2020 12:51:15.300,-1.422,0.492,0.195
14/04/2020 12:51:15.334,-1.000,0.293,0.207
14/04/2020 12:51:15.367,-0.691,0.289,0.211
14/04/2020 12:51:15.400,-0.766,0.363,0.145
14/04/2020 12:51:15.434,-0.969,0.438,0.121
